Model,Accuracy (%),Accuracy (pure) (%)
Phi-3:3.8B,28.72,3.72
Phi-3:14B,45.21,4.26
Mistral:7B,45.21,7.99
Mistral:22B,61.17,14.89
Mixtral:8x7B,40.43,2.66
Mixtral:8x22B,69.68,19.68
WizardLM-2:7B,55.85,7.45
WizardLM-2:8x22B,75.0,26.6
Gemma:7B,48.94,7.45
Gemma2:9B,53.19,13.3
Gemma2:27B,66.49,12.77
DeepSeek-V2:16B,29.79,7.98
DeepSeek-V2:236B,38.3,11.17
DeepSeek-V2.5:236B,76.6,32.45
Llama3:8B,48.94,12.77
Llama3:70B,64.36,28.19
Llama3.1:8B,54.79,11.17
Llama3.1:70B,66.49,21.81
Llama3.1:405B,79.79,31.38
Llama3.2:1B,3.72,1.06
Llama3.2:3B,9.04,2.66
Llama3.3:70B,70.21,26.6
Qwen2:7B,40.43,3.19
Qwen2:72B,63.83,21.81
Qwen2.5:1.5B,30.32,6.91
Qwen2.5:3B,15.43,1.6
Qwen2.5:7B,65.96,21.28
Qwen2.5:32B,74.47,36.17
Qwen2.5:72B,81.91,37.77
QwQ:32B,23.94,11.7
Macro-01:7B,60.64,23.4
Athene-V2:72B,82.45,37.77
CodeGemma:7B,53.19,12.23
CodeGeeX4:9B,55.85,14.89
Codestral:22B,63.3,11.17
Granite-Code:3B,20.74,10.64
Granite-Code:8B,32.98,10.11
Granite-Code:20B,41.48,8.51
Granite-Code:34B,64.36,24.47
DeepSeek-Coder-V2:16B,55.32,15.96
DeepSeek-Coder-V2:236B,80.85,36.7
Qwen2.5-Coder:1.5B,36.7,9.04
Qwen2.5-Coder:7B,61.17,21.28
Qwen2.5-Coder:32B,82.45,31.91
Mathstral:7B,47.34,15.43
Qwen2-Math:7B,43.09,10.64
Qwen2-Math:72B,71.28,33.51
Claude-3-haiku,69.15,26.6
Claude-3-sonnet,74.29,20.92
Claude-3-opus,78.01,35.28
Claude-3.5-sonnet,85.46,48.97
GPT-3.5-turbo,71.99,27.13
GPT-4o-mini,82.09,25.89
GPT-4-turbo,83.51,39.72
GPT-4o,84.57,38.12
O1-mini,87.23,41.49
O1-preview,86.17,53.72
